sent_id,d-unit,sentence,annotation1,comments,annotation2,comments,
473000,would,"Despite his retirement, Johnson was voted by fans as a starter for the 1992 NBA All-Star Game at Orlando Arena, although his former teammates Byron Scott and A. C. Green said that Johnson should not play, and several NBA players, including Utah Jazz forward Karl Malone, argued that they would be at risk of [contamination P] if Johnson suffered an open wound while on court.",Possibility,,Possibility,,
473000,former,"Despite his retirement, Johnson was voted by fans as a starter for the 1992 NBA All-Star Game at Orlando Arena, although his former [teammates S] Byron Scott and A. C. Green said that Johnson should not play, and several NBA players, including Utah Jazz forward Karl Malone, argued that they would be at risk of contamination if Johnson suffered an open wound while on court.",Aspectual,//why is teammate S,Aspectual,,
473000,should,"Despite his retirement, Johnson was voted by fans as a starter for the 1992 NBA All-Star Game at Orlando Arena, although his former teammates Byron Scott and A. C. Green said that Johnson should not [play P], and several NBA players, including Utah Jazz forward Karl Malone, argued that they would be at risk of contamination if Johnson suffered an open wound while on court.",Possibility,,Possibility,,
068009-0003,no,"As a qualified criminal defense attorney, he will work every possible legal ""angle"" (leaving no stone [unturned S]) of your case to achieve the most favorable result possible.",Negation,,Negation,,
068009-0003,qualified,"As [a S...] qualified criminal defense [attorney ...S], he will work every possible legal ""angle"" (leaving no stone unturned) of your case to achieve the most favorable result possible.",Description,,Description,,
068009-0003,possible,"As a qualified criminal defense attorney, he will work every possible legal ""angle"" (leaving no stone unturned) of your case to achieve [the P...] most favorable [result ...P] possible.",Possibility,,Possibility,or Degree?,
068009-0003,favorable most,"As a qualified criminal defense attorney, he will work every possible legal ""angle"" (leaving no stone unturned) of your case to achieve [the P...] most favorable [result ...P] possible.",Description+Comparison,,Description+Comparison,,
077414-0003,much,I much [preferred P] the one-on-one service here to the experiences I've had with bigger offices and firms.,Degree,,Degree,,
077414-0003,- - one one on,I much preferred [the S...] one-on-one [service ...S] here to the experiences I've had with bigger offices and firms.,Description,,Description,,
079007-0003,. very bad,[Attitude S] of staff very bad.,Description,//description should not be analyzed internally ?,Description+Degree,,
101972-0011,should,My conclusion is that you should only [go P] there if you want to wait a least an hour and see all kinds other people being seated before you.,Possibility,,Possibility,,
101972-0011,want,My conclusion is that you should only go there if you want to [wait P] a least an hour and see all kinds other people being seated before you.,Possibility,,Possibility,,
519010,often,"She was plagued by financial instability, often [owing S] hundreds of thousands of dollars in back taxes.",Aspectual,,Aspectual,,
502008,ex,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-[manager S], Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Aspectual,?,Aspectual,,
502008,not,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not [welcome P], and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Negation,,Negation,,
502008,anxious,"It received considerable negative criticism upon its release-a release which RCA, anxious to [maintain P] the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Description,,Possibility,"like ""want""? or should be S?",
502008,still,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial [interest P] in the singer's affairs, tried to prevent.",Aspectual,,Aspectual,,
502008,tried,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to [prevent P].",Possibility,,Causal,,
502008,negative,"It received considerable negative [criticism P] upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Description,,Description,,
502008,maintained,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial [interest P] in the singer's affairs, tried to prevent.",Aspectual,,Aspectual,or support?,
502008,considerable,"It received considerable negative [criticism P] upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Degree,borderline,Degree,,
502008,received,"It received considerable negative [criticism P] upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial interest in the singer's affairs, tried to prevent.",Description,?,Description,"similar to ""caught attention"", row 87? but less causal-y",Description
502008,significant a,"It received considerable negative criticism upon its release-a release which RCA, anxious to maintain the established commercial momentum, did not welcome, and which Bowie's ex-manager, Tony Defries, who still maintained a significant financial [interest P] in the singer's affairs, tried to prevent.",Degree,？？,Degree,,
130008,t,"He reportedly told Hepburn, ""I can't [see P] Rhett Butler chasing you for twelve years.""",Negation,,Negation,,
130008,can,"He reportedly told Hepburn, ""I can't [see P] Rhett Butler chasing you for twelve years.""",Possibility,,Possibility,,
130008,reportedly,"He reportedly [told P] Hepburn, ""I can't see Rhett Butler chasing you for twelve years.""",Possibility,,Possibility,"""according to reports, whose truth we can't confirm""",
211797-0006,unable,"They said they were ""unable to [tell P] me until they ordered my dress"".",Possibility,,Possibility+Negation,,
461008,planned,"Moore called then - President George W. Bush a ""deserter"". By late 2004, Brokaw had retired from his anchoring duties at NBC, ceding the reins to Brian Williams; Rather planned to [step down P] in March 2005.",Possibility,?,Possibility,,
461008,then,"Moore called then - [President S] George W. Bush a ""deserter"". By late 2004, Brokaw had retired from his anchoring duties at NBC, ceding the reins to Brian Williams; Rather planned to step down in March 2005.",Aspectual,,Aspectual,,
141003,herself,"In 1971 she signed on to star in an adaptation of Graham Greene's Travels With My Aunt, but was unhappy with early versions of the script and [took to rewriting P] it herself.",Description,,Description,"different usage than row 74! here: meaning ""by herself"", ""solo"", ""alone""",
191015,continued,"At one point Sorkin sued Beatty for proper compensation for his work on the Ocean of Storms script; however, he eventually continued [working P] on the script once the matter was settled.",Aspectual,?,Aspectual,,
191015,proper,"At one point Sorkin sued Beatty for proper [compensation P] for his work on the Ocean of Storms script; however, he eventually continued working on the script once the matter was settled.",Description,,Description,,
229410-0011,too way,This company is way too [expensive S] with nothing to show for it.,Degree,,Degree,,
229410-0011,nothing,This company is way too expensive with [nothing D/A] to [show P] for it.,Negation,,Negation,,
512001,constantly,"Biographer David Buckley writes, ""The essence of Bowie's contribution to popular music can be found in his outstanding ability to analyse and select ideas from outside the mainstream-from art, literature, theatre and film-and to bring them inside, so that the currency of pop is constantly [being F] [changed P].""",Aspectual,,Aspectual,,
512001,outstanding,"Biographer David Buckley writes, ""The essence of Bowie's contribution to popular music can be found in his outstanding [ability S] to analyse and select ideas from outside the mainstream-from art, literature, theatre and film-and to bring them inside, so that the currency of pop is constantly being changed.""",Description,,Degree,Description?,
512001,essence The,"Biographer David Buckley writes, ""The essence [of P...] Bowie's [contribution ...P] to popular music can be found in his outstanding ability to analyse and select ideas from outside the mainstream-from art, literature, theatre and film-and to bring them inside, so that the currency of pop is constantly being changed.""",Description,?,Description,?,Description
512001,can,"Biographer David Buckley writes, ""The essence of Bowie's contribution to popular music can be [found P] in his outstanding ability to analyse and select ideas from outside the mainstream-from art, literature, theatre and film-and to bring them inside, so that the currency of pop is constantly being changed.""",Possibility,,Possibility,,
493006,worked,"His Irish mother, Margaret Mary ""Peggy"" (née Burns), worked as [a P...] cinema [usherette ...P], while his father, Haywood Stenton ""John"" Jones, was a promotions officer for Barnardo's.",Description,,Description,,Description
586000,began,"With the gift of a guitar from his mother when he was 12, Depp began [playing P] in various garage bands.",Aspectual,,Aspectual,,
109263-0001,times 3,I have [been S] here 3 times and all 3 times it has been bad!,Aspectual,,Aspectual,,
216456-0009,never,"I emailed 4 times, [never D/T] [a response. P]",Negation+Aspectual,,Negation+Aspectual,,
216456-0009,4 times,"I [emailed P] 4 times, never a response.",Aspectual,,Aspectual,,
083454-0001,n't,"I didn't end up [buying P] my car here, but I did think the guy who worked with me was pretty cool - he was willing to budge a little on the price which means a lot to me.",Negation,,Negation,,
083454-0001,willing,"I didn't end up buying my car here, but I did think the guy who worked with me was pretty cool - he was willing to [budge P] a little on the price which means a lot to me.",Possibility,,Possibility,,
083454-0001,pretty,"I didn't end up buying my car here, but I did think the guy who worked with me was pretty [cool S] - he was willing to budge a little on the price which means a lot to me.",Degree,,Degree,,
083454-0001,little a,"I didn't end up buying my car here, but I did think the guy who worked with me was pretty cool - he was willing to [budge P] a little on the price which means a lot to me.",Degree,,Degree,,
083454-0001,endup,"I didn't end up [buying P] my car here, but I did think the guy who worked with me was pretty cool - he was willing to budge a little on the price which means a lot to me.",Aspectual,,Aspectual,,
083454-0001,a lot,"I didn't end up buying my car here, but I did think the guy who worked with me was pretty cool - he was willing to budge a little on the price which [means S] a lot to me.",Degree,,Degree,,
496003,led,"Although the film was not released until 1984, the filming sessions in January 1969 led [to P...] unexpected [success ...P] when Bowie told the producers, ""That film of yours-I've got a new song for it.""",Causal,,Causal,,
496003,not,"Although the film was not [released P] until 1984, the filming sessions in January 1969 led to unexpected success when Bowie told the producers, ""That film of yours-I've got a new song for it.""",Negation,,Negation,,
201156-0001,WELL,PHOTOS [DONE P] WELL,Description,,Description,,
601016,lead,"Considered a high point in the Beatles catalogue In My Life, both Lennon and McCartney claimed lead [authorship S] for the song, """". McCartney said of the album, ""we'd had our cute period, and now it was time to expand.""",Description,,Description,or Degree?,
492010,uneven,"After uneven commercial [success P] in the late 1970s, Bowie had UK number ones with the 1980 single ""Ashes to Ashes"", its parent album Scary Monsters (and Super Creeps), and ""Under Pressure"", a 1981 collaboration with Queen.",Description,,Description,,
554019,little a bit,"Presley recalled, ""I took the guitar, and I watched people, and I learned to [play P] a little bit. But I would never sing in public. I was very shy about it.""",Degree,,Degree,,
554019,very,"Presley recalled, ""I took the guitar, and I watched people, and I learned to play a little bit. But I would never sing in public. I was very [shy S] about it.""",Degree,,Degree,,
554019,learned,"Presley recalled, ""I took the guitar, and I watched people, and I learned to [play P] a little bit. But I would never sing in public. I was very shy about it.""",Description,,Causal,should be P?,
554019,never,"Presley recalled, ""I took the guitar, and I watched people, and I learned to play a little bit. But I would [never D/T] [sing P] in public. I was very shy about it.""",Negation+Aspectual,,Negation+Aspectual,,
554019,would,"Presley recalled, ""I took the guitar, and I watched people, and I learned to play a little bit. But I would never [sing P] in public. I was very shy about it.""",Possibility,,Aspectual,Habitual,
618015,remained,"In 1969, James sold a controlling interest in Northern Songs to Lew Grade's Associated Television (ATV) after which McCartney and John Lennon sold their remaining shares although they remained [under contract P] to ATV until 1973.",Aspectual,,Aspectual,,
042416-0003,special,We were in Santa Fe for [a P..] special [event P] and our hosts rented out the El Paradero for all their guests to stay at.,Description,,Description,,
063963-0004,even,If you have been to the London Aquarium I would not even [bother P] with this.,Degree,,Degree,,
063963-0004,not,If you have been to the London Aquarium I would not even [bother P] with this.,Negation,,Negation,,
063963-0004,would,If you have been to the London Aquarium I would not even [bother P] with this.,Possibility,,Possibility,,
725016,delicious,"The Detroit Free Press concluded, ""Jolie, while always delicious to [look P] at, is simply and woefully miscast.""",Description,,Description,,
492011,reached,"He then reached a new commercial [peak P] in 1983 with Let's Dance, which yielded several hit singles.",Aspectual, ,Aspectual,,
492011,a new,"He then reached a new commercial [peak P] in 1983 with Let's Dance, which yielded several hit singles.",Description,,Aspectual,?,
128009,roundly,"It opened at the Martin Beck Theatre on December 26, 1933, and Hepburn was roundly [panned P] by the critics.",Description,,Description,,
116821-0011,back,It tasted like I just [flew P] back home.,Description,,Description,,
